,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g)_x,"Tocopherol, delta (mg)_x",22:1 undifferentiated (g)_x,Ash (g)_y,"Tocopherol, delta (mg)_y",22:1 undifferentiated (g)_y,16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
0,"""12060""","Nuts, acorn flour, full fat",28.35,1.0 oz,1.112,1.648,,,,,,,,,,,0.133,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.675,0.173,,0.09,,,,,,,,,0.082,,,594,,,,,,,,,,,,,,,0.044,,0.00,5.418,,1,,,,0.48,,,0.48,,,,,,,,,1.648,202.0,,0.085,8.55,,,,,14.0,142.0,,0.026,,0.0,0.064,,,0.0,0.494,32.0,0.099,1.022,29.0,,,,,,,15.49,,,,,,,,,0.164,,,,,,5.418,0.059,,,,,,,,,,,,
1,"""12059""","Nuts, acorns, dried",28.35,1.0 oz,1.158,1.716,,,,,,,,,,,0.143,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.682,0.232,,0.094,,,,,,,,,0.088,,,604,,,,,,,,,,,,,,,0.044,,0.00,5.641,,0,,,,0.5,,,0.5,,,,,,,,,1.716,201.0,,0.092,8.9,,,,,0.0,144.0,,0.028,,0.0,0.07,,,0.0,0.386,33.0,0.107,1.064,29.0,,,,,,,15.21,,,,,,,,,0.177,,,,,,5.641,0.064,,,,,,,,,,,,
2,"""12058""","Nuts, acorns, raw",28.35,1.0 oz,0.879,1.303,,,,,,,,,,,0.109,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.518,0.176,,0.071,,,,,,,,,0.067,,,459,,,,,,,,,,,,,,,0.033,,0.00,4.283,,1,,,,0.38,,,0.38,,,,,,,,,1.303,153.0,,0.07,6.76,,,,,11.0,110.0,,0.021,,0.0,0.053,,,0.0,0.379,25.0,0.081,0.808,22.0,,,,,,,11.55,,,,,,,,,0.134,,,,,,4.283,0.048,,,,,,,,,,,,
3,"""12695""","Nuts, almond butter, plain, with salt added",16.0,1.0 tbsp,1.048,2.178,0.00,1.0,0.007,0.237,0.0,,8.0,,,,0.098,,,,,,0.0,0.946,0.384,0.006,,0.000,1.6,,0,,,,,,,,,0,,,,0.505,0.149,0.002,0.237,0.001,0.00,0.0,8,,0.0,8,,0.089,,0.02,411,,0.002,,,,,,,0.16,0.236,56.0,,,,0.150,,0.00,5.191,,0,0.0,0.016,,0.49,0.00,,0.49,0.00,,,,,,,0.0,2.177,120.0,,0.146,8.88,0.040,,,,0.0,98.0,,0.025,0.01,0.0,0.095,0.002,0.4,0.0,0.341,8.0,0.13,0.806,81.0,0.0,8.3,0.148,0.0,8.3,0.148,3.01,,,0.0,,,,,,0.381,,0.000,0.0,0.150,45.0,5.143,0.088,,,,,0.0,,,,,,0.0,
4,"""12195""","Nuts, almond butter, plain, without salt added",16.0,1.0 tbsp,0.664,2.178,0.00,0.71,0.007,0.237,,,,,,,0.098,,,,,,0.0,0.946,0.384,0.006,,0.000,1.6,,0,,,,,,,0,,,,,,0.505,0.149,0.001,0.15,0.001,0.00,0.0,8,,0.0,8,,0.089,,0.01,411,,0.001,22.0,0.56,0.039,,,,0.16,0.236,56.0,,,,0.150,,0.00,5.191,,0,0.0,0.016,,0.49,0.00,,0.49,0.00,,,,,,,,2.177,120.0,,0.146,8.88,0.040,,,,0.0,98.0,,0.025,0.01,0.0,0.095,0.001,0.4,0.0,0.341,8.0,0.13,0.511,81.0,,,,,,,3.01,,,0.0,,,,,,0.381,,0.000,0.0,0.150,45.0,5.143,0.088,,,,,,,,,,,0.0,
5,"""12071""","Nuts, almond paste",28.35,1.0 oz,0.745,1.650,,10.28,0.023,,0.0,,21.0,,,,,,,,,,,,,,,,1.4,,0,,,,,,,,,0,,,,0.403,0.129,,0.154,0.056,,,,,,,,,,,543,,0.045,,,,,,,,,,,,,0.117,,0.00,5.106,,0,0.001,0.010,,0.39,,0.000,0.39,,0.000,,,,,,,1.581,89.0,,,,,,,,0.0,130.0,,,,,,,,0.0,0.243,21.0,,,,0.0,8.1,,0.0,8.1,,13.55,,,0.0,,,,,,,,,0.0,,37.0,5.012,,,,,,0.0,,0.0,,,,,
6,"""12061""","Nuts, almonds",143.0,"1.0 cup, whole",5.437,17.630,0.16,6.22,0.293,2.106,0.0,,63.0,0.004,36.65,1.619,0.812,,,,,,0.0,8.875,3.774,0.019,,0.003,17.9,,1,,,,,186,0.000,,,0,,,,5.174,1.474,0.006,1.007,0.004,0.24,0.0,63,,0.0,63,,0.859,0.000,0.06,3465,0.017,0.004,,,,0.004,6.31,0,0.92,2.043,385.0,0.017,1,0.0,1.627,,0.00,45.118,,0,0.0,0.196,0.001,4.25,0.10,0.000,4.25,0.10,0.000,0.325,1.0,0.0,0.10,,0.0,17.623,1048.0,0.7,1.386,71.4,0.342,0.004,,5.65,3.0,828.0,0.000,0.302,1.03,0.0,0.644,0.010,5.9,0.0,3.116,63.0,1.074,4.409,688.0,0.0,74.5,1.304,0.0,74.5,1.304,30.82,,,0.0,,44.750,17.618,6,0.674,3.525,,0.000,0.0,1.223,386.0,44.75,0.771,0.0,,,,0.0,,,,,,0.0,0.003
7,"""12062""","Nuts, almonds, blanched",145.0,1.0 cup whole kernels,5.732,17.934,0.00,6.71,0.277,2.145,0.0,,71.0,,,,0.877,,,,,,0.0,7.549,3.989,0.086,,0.000,14.4,,1,,,,,158,0.000,,,0,,,,5.075,1.489,0.020,0.966,0.006,0.04,0.0,71,,0.0,71,,0.989,,0.20,3579,,0.000,165.0,4.76,0.412,,,,0.96,2.143,342.0,,,,1.031,,0.00,48.452,,0,0.0,0.167,,4.22,0.29,0.000,4.22,0.29,0.000,,,,,,0.0,17.929,956.0,,1.414,76.15,0.352,,,,10.0,856.0,0.000,0.28,1.45,0.0,0.773,0.000,4.6,0.0,2.661,71.0,1.009,4.746,697.0,0.0,75.5,1.467,0.0,75.5,1.467,27.07,,,0.0,,,,,,3.6,,0.000,0.0,1.167,389.0,48.014,0.864,,,,,0.0,,,,,,0.0,
8,"""12563""","Nuts, almonds, dry roasted, with salt added",138.0,1.0 cup whole kernels,5.647,17.878,0.01,6.71,0.106,2.016,0.0,,76.0,0.008,32.98,1.548,0.777,,,,,,0.0,8.491,3.610,0.079,,0.000,15.0,,1,,,,,168,0.000,,,0,0.055,28.92,0.0,5.019,1.517,0.017,0.972,,0.01,0.0,76,,0.0,76,,0.821,0.000,0.12,3453,,0.026,,,,,,,0.99,1.955,370.0,,,,1.652,,0.00,45.645,,0,0.0,0.188,,4.24,0.12,0.000,4.24,0.12,0.000,,,,,,0.0,17.864,984.0,,1.326,72.51,0.357,0.0,,6.55,1.0,825.0,0.000,0.288,1.01,0.0,0.615,0.011,2.8,0.0,3.080,76.0,1.028,4.62,650.0,0.0,71.9,1.248,0.0,71.9,1.248,28.99,,,0.0,,45.192,17.864,6,0.443,3.373,,0.000,0.0,1.170,385.0,45.201,0.737,,,,,0.0,,,,,,0.0,
9,"""12063""","Nuts, almonds, dry roasted, without salt added",138.0,1.0 cup whole kernels,5.647,17.878,0.01,6.71,0.106,2.016,0.0,,76.0,0.008,32.98,1.548,0.777,,,,,,0.0,8.491,3.610,0.079,,0.000,15.0,,1,,,,,168,0.000,,,0,0.055,28.92,0.0,5.019,1.517,0.017,0.972,,0.01,0.0,76,,0.0,76,,0.821,0.000,0.12,3453,,0.026,,,,,,,0.99,1.955,370.0,,,,1.652,,0.00,45.645,,0,0.0,0.188,,4.24,0.12,0.000,4.24,0.12,0.000,,,,,,0.0,17.864,984.0,,1.326,72.51,0.357,0.0,,6.55,1.0,825.0,0.000,0.288,1.01,0.0,0.615,0.011,2.8,0.0,3.080,76.0,1.028,4.62,650.0,0.0,71.9,1.248,0.0,71.9,1.248,28.99,,,0.0,,45.192,17.864,6,0.443,3.373,,0.000,0.0,1.170,385.0,45.201,0.737,,,,,0.0,,,,,,0.0,
10,"""12206""","Nuts, almonds, honey roasted, unblanched",144.0,1.0 cup whole kernels,6.811,15.080,,,,,,,,,,,0.747,,,,,,,,,,,,19.7,,,,,,,,,0,,,,,,4.059,1.397,,1.417,0.518,,,,,,,,0.828,,,3578,,0.413,,,,,,,,,,,,,1.372,,0.00,46.659,,0,0.007,0.122,,3.36,,,3.36,,,,,,,,,14.561,806.0,,1.408,71.86,0.422,,,,0.0,855.0,,0.405,,0.0,0.793,,,0.0,2.884,46.0,0.975,4.794,576.0,,,,,,,40.18,,,,,,,,,2.802,,,0.0,1.156,346.0,46.168,0.626,,,,,,,,,,,,
11,"""12665""","Nuts, almonds, oil roasted, lightly salted",157.0,1.0 cup whole kernels,6.605,21.226,0.00,7.14,0.144,2.303,0.0,,42.0,,,,0.942,,,,,,,,,,,,16.5,,2,,,,,185,0.000,,,,,,,5.754,1.499,0.000,1.421,0.000,0.06,0.0,,,0.0,,,1.063,,0.22,3988,,0.000,204.0,5.78,0.443,,,,1.38,2.302,457.0,,,,1.226,,0.00,54.627,0.0,,0.0,0.185,,4.91,0.22,0.000,4.91,0.22,0.000,,,,,,,21.225,1097.0,0.8,1.518,86.62,0.338,,,,2.0,953.0,0.000,0.301,0.88,0.0,0.831,0.000,6.4,,,,1.085,5.186,732.0,,,,,,,27.76,,,0.0,,,,,,3.867,,0.000,,,,54.287,0.929,,,,,0.0,,,,,,0.0,
12,"""12565""","Nuts, almonds, oil roasted, with salt added",157.0,1.0 cup whole kernels,6.607,21.225,0.00,7.14,0.144,2.303,0.0,,42.0,,,,0.942,,,,,,,,,,,,16.5,,2,,,,,185,0.000,,,0,,,,5.754,1.499,0.000,1.421,0.000,0.06,0.0,42,,0.0,42,,1.063,,0.22,3989,,0.000,204.0,5.78,0.443,,,,1.38,2.302,457.0,,,,1.226,,0.00,54.625,,0,0.0,0.185,,4.91,0.22,0.000,4.91,0.22,0.000,,,,,,,21.225,1097.0,,1.518,86.62,0.338,,,,2.0,953.0,0.000,0.301,0.88,0.0,0.831,0.000,6.4,0.0,3.862,42.0,1.085,5.186,732.0,0.0,81.8,1.576,0.0,81.8,1.576,27.76,,,0.0,,,,,,3.867,,0.000,0.0,1.253,430.0,54.287,0.929,,,,,0.0,,,,,,0.0,
13,"""12567""","Nuts, almonds, oil roasted, with salt added, smoke flavor",28.0,1.0 oz (28 almonds),1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711,,,,,,,,,,,,,,,,,,,,,,,,0.57,,,0.57,,,,,,,,,,,,,,,,,,0.0,170.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"""12065""","Nuts, almonds, oil roasted, without salt added",157.0,1.0 cup whole kernels,6.607,21.225,0.00,7.14,0.144,2.303,0.0,,42.0,,,,0.942,,,,,,,,,,,,16.5,,2,,,,,185,0.000,,,0,,,,5.754,1.499,0.000,1.421,0.000,0.06,0.0,42,,0.0,42,,1.063,,0.22,3989,,0.000,204.0,5.78,0.443,,,,1.38,2.302,457.0,,,,1.226,,0.00,54.625,,0,0.0,0.185,,4.91,0.22,0.000,4.91,0.22,0.000,,,,,,,21.225,1097.0,,1.518,86.62,0.338,,,,2.0,953.0,0.000,0.301,0.88,0.0,0.831,0.000,6.4,0.0,3.862,42.0,1.085,5.186,732.0,0.0,81.8,1.576,0.0,81.8,1.576,27.76,,,0.0,,,,,,3.867,,0.000,0.0,1.253,430.0,54.287,0.929,,,,,0.0,,,,,,0.0,
15,"""12077""","Nuts, beechnuts, dried",28.35,1.0 oz,1.621,5.695,,,,,,,,,,,0.104,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.249,0.19,,0.335,0.482,,,,,,,,0.063,,,683,,0.018,,,,,,,,,,,,,0.105,,0.00,6.206,,0,,,,1.05,,,1.05,,,,,,,,,5.214,288.0,,0.092,14.18,0.081,,,,0.0,163.0,,0.02,,0.0,0.049,,,0.0,0.380,32.0,0.069,1.012,0.0,,,,,,,9.5,,,,,,,,,0.126,,,,,,5.344,0.049,,,,,,,,,,,,
16,"""12078""","Nuts, brazilnuts, dried, unblanched",133.0,"1.0 cup, whole",21.458,32.451,0.00,3.1,0.821,1.583,0.0,,29.0,0.024,7.51,0.850,0.652,,,0.0,,0.036,0.0,4.243,1.762,0.060,,0.000,10.0,,0,,,,,,,,,0,,,,0.392,2.318,0.055,8.305,0.048,0.00,0.0,29,,0.0,29,,0.485,0.024,0.00,3667,,0.061,,,,,,,12.71,0.975,213.0,,,,0.047,,0.00,31.759,,0,0.0,0.134,0.013,4.56,0.84,0.000,4.56,0.84,0.000,,,,,,0.0,32.403,876.0,0.5,0.939,89.24,0.285,,,,0.0,876.0,,0.18,0.33,0.0,0.553,0.222,2549.6,0.0,1.627,29.0,0.689,12.803,964.0,0.0,38.3,0.899,0.0,38.3,0.899,15.61,,,0.0,,,31.732,8,0.245,2.846,,0.000,0.0,1.011,500.0,31.38,0.544,0.0,,,,0.0,,0.9,0.23,1.495,0.000,0.0,
17,"""12084""","Nuts, butternuts, dried",120.0,1.0 cup,1.567,51.289,,,,,0.0,,79.0,,,,0.924,,,,,,,,,,,,5.6,,,,,,,,,0,,,,,,1.254,0.54,,0.51,10.462,,,,,,,,1.128,,,3073,,0.000,,,,,,,,,,,,,0.178,,0.00,12.51,,7,0.0,0.672,,3.28,,0.000,3.28,,0.000,,,,,,,40.472,505.0,,1.483,68.38,0.000,,,,149.0,734.0,,0.439,,0.0,1.172,,20.6,0.0,7.872,79.0,1.415,1.046,535.0,,,,,,,14.46,,,,,,,,,5.834,,0.000,0.0,1.849,284.0,12.422,0.970,,,,,,,,,,,,
18,"""12588""","Nuts, cashew butter, plain, with salt added",16.0,1.0 tbsp,1.697,2.139,,1.45,0.025,0.133,0.0,,9.0,,,,0.084,,,,,,,,,,,,0.5,,3,,,,,,,,,0,,,,0.177,0.281,,0.605,0.025,,,,,,,,0.062,,,408,,0.053,,,,,,,,,,,,,0.025,,0.00,4.273,4.8,0,0.11,0.032,,0.4,,0.000,0.4,,0.000,,,,,,,2.112,72.0,,0.073,8.48,0.041,,,,0.0,97.0,,0.026,,0.0,0.046,,1.5,0.0,,9.0,0.071,0.832,62.0,0.0,7.7,0.097,0.0,7.7,0.097,4.85,,,0.0,,,,,,0.192,,0.019,0.0,0.099,33.0,4.208,0.041,,,,,0.0,,,,,,,
19,"""12088""","Nuts, cashew butter, plain, without salt added",16.0,1.0 tbsp,1.562,1.337,,,,,,,,,,,0.15,,,,,,,,,,,,0.3,,,,,,,,,0,,,,,,0.256,0.35,,0.507,0.027,,,,,,,,0.109,,,393,,0.059,,,,,,,,,,,,,0.030,,0.00,4.66,,0,0.134,0.040,,0.4,,,0.4,,,,,,,,,1.307,87.0,,0.127,7.91,0.054,,,,0.0,94.0,,0.044,,0.0,0.09,,1.8,0.0,0.130,11.0,0.134,0.742,73.0,,,,,,,4.41,,,,,,,,,0.32,,0.022,0.0,0.191,41.0,4.573,0.073,,,,,,,,,,,,
20,"""12585""","Nuts, cashew nuts, dry roasted, with salt added",137.0,"1.0 cup, halves and whole",12.545,10.735,,6.86,0.274,1.760,0.0,,95.0,,,,1.119,,,,,,,,,,,,4.1,,32,,,,,,,,,0,,,,1.918,3.041,,4.072,0.221,,,,,,,,0.811,,,3291,,0.475,216.0,8.22,0.388,,,,,,,,,,0.274,,0.00,37.424,47.5,0,1.074,0.351,,5.41,,0.000,5.41,,0.000,,,,,,,10.494,774.0,,0.945,63.5,0.436,,,,0.0,786.0,,0.325,,0.0,0.673,,16.0,0.0,1.132,95.0,1.001,5.961,671.0,0.0,83.6,1.163,0.0,83.6,1.163,44.79,,,0.0,,,,,,2.385,,0.181,0.0,1.425,356.0,36.727,0.547,,,,,0.0,,,,,,,
21,"""12085""","Nuts, cashew nuts, dry roasted, without salt added",137.0,"1.0 cup, halves and whole",12.545,10.735,,6.86,0.274,1.760,0.0,,95.0,,,,1.119,,,,,,,,,,,,4.1,,32,,,,,,,,,0,,,,1.918,3.041,,4.072,0.221,,,,,,,,0.811,,,3291,,0.475,216.0,8.22,0.388,,,,,,,,,,0.274,,0.00,37.424,47.5,0,1.074,0.351,,5.41,,0.000,5.41,,0.000,,,,,,,10.494,774.0,,0.945,63.5,0.436,,,,0.0,786.0,,0.325,,0.0,0.673,,16.0,0.0,1.132,95.0,1.001,5.961,671.0,0.0,83.6,1.163,0.0,83.6,1.163,44.79,,,0.0,,,,,,2.385,,0.181,0.0,1.425,356.0,36.727,0.547,,,,,0.0,,,,,,,
22,"""12586""","Nuts, cashew nuts, oil roasted, with salt added",129.0,"1.0 cup, whole",10.937,11.024,0.10,6.46,0.468,1.756,0.0,,32.0,,,,1.107,,,0.13,,0.193,0.0,5.373,2.140,,,0.000,4.3,,30,,,,,,,,,0,,,,2.239,2.635,0.066,4.529,0.088,0.10,0.0,32,,0.0,32,,0.82,,0.00,3136,,0.021,,,,,,,6.97,1.117,55.0,,,,0.281,,0.00,33.441,44.8,0,0.021,0.417,0.243,3.73,0.48,0.000,3.73,0.48,0.000,,,,,,0.0,10.937,815.0,14.4,0.969,61.62,0.192,,,,0.0,749.0,,0.342,14.10,0.0,0.605,0.374,26.2,0.0,2.152,32.0,0.94,5.502,685.0,0.0,78.7,1.286,0.0,78.7,1.286,38.91,,,0.0,,,,,,2.532,,0.021,0.0,1.304,352.0,33.055,0.543,0.0,,,,0.0,,0.4,0.26,0.431,0.021,0.0,
23,"""12086""","Nuts, cashew nuts, oil roasted, without salt added",129.0,"1.0 cup, whole",10.937,11.024,0.10,6.46,0.468,1.756,0.0,,32.0,,,,1.107,,,0.13,,0.193,0.0,5.373,2.140,,,0.000,4.3,,30,,,,,,,,,0,,,,2.239,2.635,0.066,4.529,0.088,0.10,0.0,32,,0.0,32,,0.82,,0.00,3130,,0.021,,,,,,,6.97,1.117,55.0,,,,0.281,,0.00,33.441,44.8,0,0.021,0.417,0.243,2.62,0.48,0.000,2.62,0.48,0.000,,,,,,0.0,10.937,815.0,14.4,0.969,61.62,0.192,,,,0.0,748.0,,0.342,14.10,0.0,0.605,0.374,26.2,0.0,2.152,32.0,0.94,5.502,685.0,0.0,78.7,1.286,0.0,78.7,1.286,38.53,,,0.0,,,,,,2.532,,0.021,0.0,1.304,352.0,33.055,0.543,0.0,,,,0.0,,0.4,0.26,0.431,0.021,0.0,
24,"""12087""","Nuts, cashew nuts, raw",28.35,1.0 oz,2.206,2.224,0.01,1.68,0.120,0.417,0.0,,7.0,,,,0.263,,,0.03,,0.039,0.0,1.277,0.509,,,0.000,0.9,,6,,,,,,,0,,,,,,0.301,0.622,0.013,0.914,0.018,0.01,0.0,7,,0.0,7,,0.195,,0.00,656,,0.004,,,,,,,1.51,0.266,10.0,,,,0.016,,0.00,6.746,9.7,0,0.004,0.118,0.049,0.72,0.10,0.000,0.72,0.10,0.000,,,,0.00,,,2.206,187.0,,0.23,12.43,0.039,,,,0.0,157.0,,0.081,6.66,0.0,0.144,0.075,5.6,0.0,0.469,7.0,0.224,1.11,168.0,,,,,,,8.56,,,0.0,,,,,,0.602,,0.004,0.0,0.310,83.0,6.669,0.129,,,,,,,,0.06,0.103,0.004,0.0,
25,"""12095""","Nuts, chestnuts, chinese, boiled and steamed",28.35,1.0 oz,0.032,0.056,,,,,,,,,,,0.044,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.155,0.071,,0.002,0.005,,,,,,,,0.033,,,181,,,,,,,,,,,,,,,0.035,,0.00,0.113,,2,,,,0.32,,,0.32,,,,,,,,,0.05,87.0,,0.031,0.22,0.001,,,,39.0,43.0,,0.01,,0.0,0.024,,,0.0,0.311,13.0,0.031,0.029,19.0,,,,,,,9.54,,,,,,,,,0.084,,,0.0,0.043,16.0,0.109,0.024,,,,,,,,,,,,
26,"""12094""","Nuts, chestnuts, chinese, dried",28.35,1.0 oz,0.075,0.133,,,,,,,,,,,0.105,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.369,0.167,,0.005,0.013,,,,,,,,0.077,,,431,,,,,,,,,,,,,,,0.083,,0.00,0.268,,5,,,,0.77,,,0.77,,,,,,,,,0.119,206.0,,0.075,0.51,0.003,,,,93.0,103.0,,0.023,,0.0,0.058,,,0.0,0.737,31.0,0.072,0.07,44.0,,,,,,,22.61,,,,,,,,,0.198,,,0.0,0.101,39.0,0.258,0.056,,,,,,,,,,,,
27,"""12093""","Nuts, chestnuts, chinese, raw",28.35,1.0 oz,0.046,0.082,,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.227,0.103,,0.003,0.008,,,,,,,,0.047,,,266,,,,,,,,,,,,,,,0.051,,0.00,0.165,,3,,,,0.47,,,0.47,,,,,,,,,0.073,127.0,,0.046,0.31,0.002,,,,57.0,64.0,,0.014,,0.0,0.035,,,0.0,0.454,19.0,0.045,0.043,27.0,,,,,,,13.91,,,,,,,,,0.122,,,0.0,0.062,24.0,0.158,0.034,,,,,,,,,,,,
28,"""12096""","Nuts, chestnuts, chinese, roasted",28.35,1.0 oz,0.05,0.087,,,,,,,,,,,0.069,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.425,0.11,,0.003,0.009,,,,,,,,0.05,,,284,,,,,,,,,,,,,,,0.026,,0.00,0.176,,0,,,,0.5,,,0.5,,,,,,,,,0.078,135.0,,0.049,0.34,0.002,,,,1.0,68.0,,0.015,,0.0,0.038,,,0.0,0.484,20.0,0.047,0.046,29.0,,,,,,,14.84,,,,,,,,,0.13,,,0.0,0.067,26.0,0.169,0.037,,,,,,,,,,,,
29,"""12101""","Nuts, chestnuts, european, boiled and steamed",28.35,1.0 oz,0.074,0.155,,,,,,,,,,,0.033,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.207,0.134,,0.004,0.016,,,,,,,,0.02,,,155,,0.002,,,,,,,,,,,,,0.029,,0.00,0.135,,0,,,,0.2,,,0.2,,,,,,,,,0.138,203.0,,0.03,0.39,0.004,,,,5.0,37.0,,0.006,,0.0,0.016,,,0.0,0.242,11.0,0.022,0.066,28.0,,,,,,,7.87,,,,,,,,,0.041,,,0.0,0.032,15.0,0.13,0.016,,,,,,,,,,,,
30,"""12100""","Nuts, chestnuts, european, dried, peeled",28.35,1.0 oz,0.209,0.438,,,,,,,,,,,0.084,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.242,0.185,,0.01,0.047,,,,,,,,0.051,,,438,,0.005,,,,,,,,,,,,,0.015,,0.00,0.382,,0,,,,1.03,,,1.03,,,,,,,,,0.392,281.0,,0.075,1.11,0.010,,,,0.0,105.0,,0.016,,0.0,0.039,,,0.0,0.335,31.0,0.056,0.188,39.0,,,,,,,22.23,,,,,,,,,0.102,,,0.0,0.079,21.0,0.367,0.039,,,,,,,,,,,,
31,"""12099""","Nuts, chestnuts, european, dried, unpeeled",28.35,1.0 oz,0.237,0.498,,,,,0.0,,31.0,,,,0.107,,,,,,,,,,,,3.3,,,,,,,,,0,,,,,,0.241,0.184,,0.012,0.053,,,,,,,,0.065,,,444,,0.005,,,,,,,,,,,,,0.102,,0.00,0.435,,0,0.0,0.188,,0.68,,0.000,0.68,,0.000,,,,,,,0.445,280.0,,0.095,1.26,0.012,,,,0.0,106.0,,0.02,,0.0,0.05,,0.5,0.0,0.369,31.0,0.071,0.214,50.0,,,,,,,21.92,,,,,,,,,0.13,,0.000,0.0,0.101,21.0,0.418,0.050,,,,,,,,,,,,
32,"""12098""","Nuts, chestnuts, european, raw, peeled",28.35,1.0 oz,0.067,0.140,,,,,,,,,,,0.027,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.312,0.119,,0.003,0.015,,,,,,,,0.016,,,232,,0.001,,,,,,,,,,,,,0.005,,0.00,0.122,,0,,,,0.27,,,0.27,,,,,,,,,0.125,137.0,,0.024,0.35,0.003,,,,7.0,56.0,,0.005,,0.0,0.013,,,0.0,0.095,16.0,0.018,0.06,11.0,,,,,,,12.52,,,,,,,,,0.033,,,0.0,0.026,9.0,0.117,0.013,,,,,,,,,,,,
33,"""12097""","Nuts, chestnuts, european, raw, unpeeled",145.0,1.0 cup,0.616,1.296,,,,,,,,,,,0.207,,,,,,,,,,,,11.7,,,,,,,,,0,,,,,,1.710,0.648,,0.03,0.138,,,,,,,,0.125,,,1292,,0.014,32.0,1.46,0.112,,,,,,,,,,0.244,,0.00,1.131,,1,,,,1.64,,,1.64,,,,,,,,,1.157,751.0,,0.184,3.28,0.030,,,,41.0,309.0,,0.039,,0.0,0.097,,,0.0,1.380,90.0,0.138,0.557,135.0,,,,,,,66.03,,,,,,,,,0.251,,,0.0,0.196,46.0,1.086,0.097,,,,,,,,,,,,
